equipo_local,equipo_visitante,codigo_local,codigo_visitante,fecha_hora,fase,grupo,estadio,ciudad
Por definir,Por definir,XX,XX,2026-06-23 00:00:00,Grupos,L,Arrowhead Stadium,Kansas City
Por definir,Por definir,XX,XX,2026-06-23 21:00:00,Grupos,A,Estadio Azteca,Ciudad de México
Por definir,Por definir,XX,XX,2026-06-24 00:00:00,Grupos,B,BMO Field,Toronto
Por definir,Por definir,XX,XX,2026-06-24 21:00:00,Grupos,C,SoFi Stadium,Los Ángeles
Por definir,Por definir,XX,XX,2026-06-25 00:00:00,Grupos,D,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-06-25 21:00:00,Grupos,E,Mercedes-Benz Stadium,Atlanta
Por definir,Por definir,XX,XX,2026-06-26 00:00:00,Grupos,F,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-06-26 21:00:00,Grupos,G,AT&T Stadium,Dallas
Por definir,Por definir,XX,XX,2026-06-27 00:00:00,Grupos,H,Gillette Stadium,Boston
Por definir,Por definir,XX,XX,2026-06-27 21:00:00,Grupos,I,Lincoln Financial Field,Filadelfia
Por definir,Por definir,XX,XX,2026-06-28 00:00:00,Grupos,J,Levi's Stadium,San Francisco
Por definir,Por definir,XX,XX,2026-06-28 21:00:00,Grupos,K,NRG Stadium,Houston
Por definir,Por definir,XX,XX,2026-06-29 00:00:00,Grupos,L,Arrowhead Stadium,Kansas City
Por definir,Por definir,XX,XX,2026-06-30 21:00:00,Grupos,A,Estadio Azteca,Ciudad de México
Por definir,Por definir,XX,XX,2026-07-01 00:00:00,Grupos,B,BMO Field,Toronto
Por definir,Por definir,XX,XX,2026-07-01 21:00:00,Grupos,C,SoFi Stadium,Los Ángeles
Por definir,Por definir,XX,XX,2026-07-02 00:00:00,Grupos,D,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-07-02 21:00:00,Grupos,E,Mercedes-Benz Stadium,Atlanta
Por definir,Por definir,XX,XX,2026-07-03 00:00:00,Grupos,F,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-07-03 21:00:00,Grupos,G,AT&T Stadium,Dallas
Por definir,Por definir,XX,XX,2026-07-04 00:00:00,Grupos,H,Gillette Stadium,Boston
Por definir,Por definir,XX,XX,2026-07-04 21:00:00,Grupos,I,Lincoln Financial Field,Filadelfia
Por definir,Por definir,XX,XX,2026-07-05 00:00:00,Grupos,J,Levi's Stadium,San Francisco
Por definir,Por definir,XX,XX,2026-07-05 21:00:00,Grupos,K,NRG Stadium,Houston
Por definir,Por definir,XX,XX,2026-07-06 00:00:00,Grupos,L,Arrowhead Stadium,Kansas City
Por definir,Por definir,XX,XX,2026-07-02 21:00:00,Dieciseisavos,,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-07-02 21:00:00,Dieciseisavos,,SoFi Stadium,Los Ángeles
Por definir,Por definir,XX,XX,2026-07-03 00:00:00,Dieciseisavos,,AT&T Stadium,Dallas
Por definir,Por definir,XX,XX,2026-07-03 21:00:00,Dieciseisavos,,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-07-04 00:00:00,Dieciseisavos,,Mercedes-Benz Stadium,Atlanta
Por definir,Por definir,XX,XX,2026-07-04 21:00:00,Dieciseisavos,,NRG Stadium,Houston
Por definir,Por definir,XX,XX,2026-07-05 00:00:00,Dieciseisavos,,Estadio Azteca,Ciudad de México
Por definir,Por definir,XX,XX,2026-07-05 21:00:00,Dieciseisavos,,Gillette Stadium,Boston
Por definir,Por definir,XX,XX,2026-07-06 00:00:00,Dieciseisavos,,Levi's Stadium,San Francisco
Por definir,Por definir,XX,XX,2026-07-06 21:00:00,Dieciseisavos,,Lincoln Financial Field,Filadelfia
Por definir,Por definir,XX,XX,2026-07-07 00:00:00,Dieciseisavos,,BMO Field,Toronto
Por definir,Por definir,XX,XX,2026-07-07 21:00:00,Dieciseisavos,,Arrowhead Stadium,Kansas City
Por definir,Por definir,XX,XX,2026-07-08 00:00:00,Dieciseisavos,,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-07-08 21:00:00,Dieciseisavos,,AT&T Stadium,Dallas
Por definir,Por definir,XX,XX,2026-07-09 00:00:00,Dieciseisavos,,SoFi Stadium,Los Ángeles
Por definir,Por definir,XX,XX,2026-07-09 21:00:00,Dieciseisavos,,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-07-10 00:00:00,Octavos,,Mercedes-Benz Stadium,Atlanta
Por definir,Por definir,XX,XX,2026-07-10 21:00:00,Octavos,,NRG Stadium,Houston
Por definir,Por definir,XX,XX,2026-07-11 00:00:00,Octavos,,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-07-11 21:00:00,Octavos,,SoFi Stadium,Los Ángeles
Por definir,Por definir,XX,XX,2026-07-12 00:00:00,Octavos,,AT&T Stadium,Dallas
Por definir,Por definir,XX,XX,2026-07-12 21:00:00,Octavos,,Estadio Azteca,Ciudad de México
Por definir,Por definir,XX,XX,2026-07-13 00:00:00,Octavos,,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-07-13 21:00:00,Octavos,,Gillette Stadium,Boston
Por definir,Por definir,XX,XX,2026-07-14 00:00:00,Cuartos,,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-07-14 21:00:00,Cuartos,,SoFi Stadium,Los Ángeles
Por definir,Por definir,XX,XX,2026-07-15 00:00:00,Cuartos,,AT&T Stadium,Dallas
Por definir,Por definir,XX,XX,2026-07-15 21:00:00,Cuartos,,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-07-16 00:00:00,Semifinales,,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-07-17 00:00:00,Semifinales,,AT&T Stadium,Dallas
Por definir,Por definir,XX,XX,2026-07-18 21:00:00,Final,,MetLife Stadium,Nueva York/Nueva Jersey
Por definir,Por definir,XX,XX,2026-07-18 00:00:00,Final,,MetLife Stadium,Nueva York/Nueva Jersey
