equipo_local,equipo_visitante,codigo_local,codigo_visitante,fecha_hora,fase,grupo,estadio,ciudad
Inglaterra,Croacia,GB-ENG,HR,2026-06-17 16:00:00,Grupos,L,AT&T Stadium,Dallas (Arlington)
Ghana,Panamá,GH,PA,2026-06-17 19:00:00,Grupos,L,BMO Field,Toronto
Uzbekistán,Colombia,UZ,CO,2026-06-17 22:00:00,Grupos,K,Estadio Azteca,Ciudad de México
Chequia,Sudáfrica,CZ,ZA,2026-06-18 12:00:00,Grupos,A,Mercedes-Benz Stadium,Atlanta
Suiza,Bosnia y Herzegovina,CH,BA,2026-06-18 15:00:00,Grupos,B,SoFi Stadium,Los Ángeles (Inglewood)
Canadá,Catar,CA,QA,2026-06-18 18:00:00,Grupos,B,BC Place,Vancouver
México,República de Corea,MX,KR,2026-06-18 21:00:00,Grupos,A,Estadio Akron,Guadalajara
Estados Unidos,Australia,US,AU,2026-06-19 15:00:00,Grupos,D,Lumen Field,Seattle
Escocia,Marruecos,GB-SCT,MA,2026-06-19 18:00:00,Grupos,C,Gillette Stadium,Boston (Foxborough)
Brasil,Haití,BR,HT,2026-06-19 20:30:00,Grupos,C,Lincoln Financial Field,Filadelfia
Turquía,Paraguay,TR,PY,2026-06-19 23:00:00,Grupos,D,Levi's Stadium,San Francisco (Santa Clara)
Países Bajos,Suecia,NL,SE,2026-06-20 13:00:00,Grupos,F,NRG Stadium,Houston
Alemania,Costa de Marfil,DE,CI,2026-06-20 16:00:00,Grupos,E,BMO Field,Toronto
Ecuador,Curazao,EC,CW,2026-06-20 20:00:00,Grupos,E,Arrowhead Stadium,Kansas City
Túnez,Japón,TN,JP,2026-06-21 00:00:00,Grupos,F,Estadio BBVA,Monterrey
España,Arabia Saudí,ES,SA,2026-06-21 12:00:00,Grupos,H,Mercedes-Benz Stadium,Atlanta
Bélgica,RI de Irán,BE,IR,2026-06-21 15:00:00,Grupos,G,SoFi Stadium,Los Ángeles (Inglewood)
Uruguay,Cabo Verde,UY,CV,2026-06-21 18:00:00,Grupos,H,Hard Rock Stadium,Miami
Nueva Zelanda,Egipto,NZ,EG,2026-06-21 21:00:00,Grupos,G,BC Place,Vancouver
Argentina,Austria,AR,AT,2026-06-22 13:00:00,Grupos,J,AT&T Stadium,Dallas (Arlington)
Francia,Irak,FR,IQ,2026-06-22 17:00:00,Grupos,I,Lincoln Financial Field,Filadelfia
Noruega,Senegal,NO,SN,2026-06-22 20:00:00,Grupos,I,MetLife Stadium,Nueva York (East Rutherford)
Jordania,Argelia,JO,DZ,2026-06-22 23:00:00,Grupos,J,Levi's Stadium,San Francisco (Santa Clara)
Portugal,Uzbekistán,PT,UZ,2026-06-23 13:00:00,Grupos,K,NRG Stadium,Houston
Inglaterra,Ghana,GB-ENG,GH,2026-06-23 16:00:00,Grupos,L,Gillette Stadium,Boston (Foxborough)
Panamá,Croacia,PA,HR,2026-06-23 19:00:00,Grupos,L,BMO Field,Toronto
Colombia,RD Congo,CO,CD,2026-06-23 22:00:00,Grupos,K,Estadio Akron,Guadalajara
Suiza,Canadá,CH,CA,2026-06-24 15:00:00,Grupos,B,BC Place,Vancouver
Bosnia y Herzegovina,Catar,BA,QA,2026-06-24 15:00:00,Grupos,B,Lumen Field,Seattle
Escocia,Brasil,GB-SCT,BR,2026-06-24 18:00:00,Grupos,C,Hard Rock Stadium,Miami
Marruecos,Haití,MA,HT,2026-06-24 18:00:00,Grupos,C,Mercedes-Benz Stadium,Atlanta
Chequia,México,CZ,MX,2026-06-24 21:00:00,Grupos,A,Estadio Azteca,Ciudad de México
Sudáfrica,República de Corea,ZA,KR,2026-06-24 21:00:00,Grupos,A,Estadio BBVA,Monterrey
Curazao,Costa de Marfil,CW,CI,2026-06-25 16:00:00,Grupos,E,Lincoln Financial Field,Filadelfia
Ecuador,Alemania,EC,DE,2026-06-25 16:00:00,Grupos,E,MetLife Stadium,Nueva York (East Rutherford)
Japón,Suecia,JP,SE,2026-06-25 19:00:00,Grupos,F,AT&T Stadium,Dallas (Arlington)
Túnez,Países Bajos,TN,NL,2026-06-25 19:00:00,Grupos,F,Arrowhead Stadium,Kansas City
Turquía,Estados Unidos,TR,US,2026-06-25 22:00:00,Grupos,D,SoFi Stadium,Los Ángeles (Inglewood)
Paraguay,Australia,PY,AU,2026-06-25 22:00:00,Grupos,D,Levi's Stadium,San Francisco (Santa Clara)
Noruega,Francia,NO,FR,2026-06-26 15:00:00,Grupos,I,Gillette Stadium,Boston (Foxborough)
Senegal,Irak,SN,IQ,2026-06-26 15:00:00,Grupos,I,BMO Field,Toronto
Cabo Verde,Arabia Saudí,CV,SA,2026-06-26 20:00:00,Grupos,H,NRG Stadium,Houston
Uruguay,España,UY,ES,2026-06-26 20:00:00,Grupos,H,Estadio Akron,Guadalajara
Egipto,RI de Irán,EG,IR,2026-06-26 23:00:00,Grupos,G,Lumen Field,Seattle
Nueva Zelanda,Bélgica,NZ,BE,2026-06-26 23:00:00,Grupos,G,BC Place,Vancouver
Panamá,Inglaterra,PA,GB-ENG,2026-06-27 17:00:00,Grupos,L,MetLife Stadium,Nueva York (East Rutherford)
Croacia,Ghana,HR,GH,2026-06-27 17:00:00,Grupos,L,Lincoln Financial Field,Filadelfia
Colombia,Portugal,CO,PT,2026-06-27 19:30:00,Grupos,K,Hard Rock Stadium,Miami
RD Congo,Uzbekistán,CD,UZ,2026-06-27 19:30:00,Grupos,K,Mercedes-Benz Stadium,Atlanta
Argelia,Austria,DZ,AT,2026-06-27 22:00:00,Grupos,J,Arrowhead Stadium,Kansas City
Jordania,Argentina,JO,AR,2026-06-27 22:00:00,Grupos,J,AT&T Stadium,Dallas (Arlington)
Por definir,Por definir,XX,XX,2026-06-28 15:00:00,Dieciseisavos,,SoFi Stadium,Los Ángeles (Inglewood)
Por definir,Por definir,XX,XX,2026-06-29 13:00:00,Dieciseisavos,,NRG Stadium,Houston
Por definir,Por definir,XX,XX,2026-06-29 16:30:00,Dieciseisavos,,Gillette Stadium,Boston (Foxborough)
Por definir,Por definir,XX,XX,2026-06-29 21:00:00,Dieciseisavos,,Estadio BBVA,Monterrey
Por definir,Por definir,XX,XX,2026-06-30 13:00:00,Dieciseisavos,,AT&T Stadium,Dallas (Arlington)
Por definir,Por definir,XX,XX,2026-06-30 17:00:00,Dieciseisavos,,MetLife Stadium,Nueva York (East Rutherford)
Por definir,Por definir,XX,XX,2026-06-30 21:00:00,Dieciseisavos,,Estadio Azteca,Ciudad de México
Por definir,Por definir,XX,XX,2026-07-01 12:00:00,Dieciseisavos,,Mercedes-Benz Stadium,Atlanta
Por definir,Por definir,XX,XX,2026-07-01 16:00:00,Dieciseisavos,,Lumen Field,Seattle
Por definir,Por definir,XX,XX,2026-07-01 20:00:00,Dieciseisavos,,Levi's Stadium,San Francisco (Santa Clara)
Por definir,Por definir,XX,XX,2026-07-02 15:00:00,Dieciseisavos,,SoFi Stadium,Los Ángeles (Inglewood)
Por definir,Por definir,XX,XX,2026-07-02 19:00:00,Dieciseisavos,,BMO Field,Toronto
Por definir,Por definir,XX,XX,2026-07-02 23:00:00,Dieciseisavos,,BC Place,Vancouver
Por definir,Por definir,XX,XX,2026-07-03 14:00:00,Dieciseisavos,,AT&T Stadium,Dallas (Arlington)
Por definir,Por definir,XX,XX,2026-07-03 18:00:00,Dieciseisavos,,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-07-03 21:30:00,Dieciseisavos,,Arrowhead Stadium,Kansas City
Por definir,Por definir,XX,XX,2026-07-04 13:00:00,Octavos,,NRG Stadium,Houston
Por definir,Por definir,XX,XX,2026-07-04 17:00:00,Octavos,,Lincoln Financial Field,Filadelfia
Por definir,Por definir,XX,XX,2026-07-05 16:00:00,Octavos,,MetLife Stadium,Nueva York (East Rutherford)
Por definir,Por definir,XX,XX,2026-07-05 20:00:00,Octavos,,Estadio Azteca,Ciudad de México
Por definir,Por definir,XX,XX,2026-07-06 15:00:00,Octavos,,AT&T Stadium,Dallas (Arlington)
Por definir,Por definir,XX,XX,2026-07-06 20:00:00,Octavos,,Lumen Field,Seattle
Por definir,Por definir,XX,XX,2026-07-07 12:00:00,Octavos,,Mercedes-Benz Stadium,Atlanta
Por definir,Por definir,XX,XX,2026-07-07 16:00:00,Octavos,,BC Place,Vancouver
Por definir,Por definir,XX,XX,2026-07-09 16:00:00,Cuartos,,Gillette Stadium,Boston (Foxborough)
Por definir,Por definir,XX,XX,2026-07-10 15:00:00,Cuartos,,SoFi Stadium,Los Ángeles (Inglewood)
Por definir,Por definir,XX,XX,2026-07-11 17:00:00,Cuartos,,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-07-11 21:00:00,Cuartos,,Arrowhead Stadium,Kansas City
Por definir,Por definir,XX,XX,2026-07-14 15:00:00,Semifinales,,AT&T Stadium,Dallas (Arlington)
Por definir,Por definir,XX,XX,2026-07-15 15:00:00,Semifinales,,Mercedes-Benz Stadium,Atlanta
Por definir,Por definir,XX,XX,2026-07-18 17:00:00,Tercer Puesto,,Hard Rock Stadium,Miami
Por definir,Por definir,XX,XX,2026-07-19 15:00:00,Final,,MetLife Stadium,Nueva York (East Rutherford)
